,dcp,rsi,stochrsi,willr,roc
1999-12-08,62.858189127679,71.1774,100.0,-9.5842,26.3405
1999-12-09,60.2488408979115,63.5165,0.0,-29.661,16.8763
1999-12-10,57.9264678298699,57.6984,0.0,-44.4746,14.7368
1999-12-13,58.2984726691443,58.3418,4.7734,-42.1017,14.4258
1999-12-14,58.0593267010393,57.7475,0.3638,-43.6271,16.1493
1999-12-15,56.8635968605145,54.8087,0.0,-51.2542,13.0839
1999-12-16,58.0274405719587,57.0482,63.3859,-45.2731,16.4693
1999-12-17,58.4579033145476,57.8612,86.3969,-51.0316,12.2449
1999-12-20,58.0327549268055,56.7445,63.4184,-63.614,5.0606
1999-12-21,58.5216755727089,57.732,95.7674,-59.0842,2.0858
1999-12-22,57.3950323451922,54.7029,0.0,-69.5224,1.8292
1999-12-23,57.7245223456924,55.4229,22.7975,-67.5,3.9426
1999-12-27,58.3250444433782,56.7421,67.3196,-61.85,4.5238
1999-12-28,58.3569305724589,56.8135,69.6778,-61.55,5.394
1999-12-29,57.9264678298699,55.5109,38.2837,-66.0292,5.7636
1999-12-30,57.7936089587005,55.1005,0.0,-71.3067,5.1537
1999-12-31,57.3259457321841,53.6312,0.0,-80.874,2.4698
2000-01-03,61.6465162226138,63.1794,100.0,-34.7333,3.6918
2000-01-04,59.5526604129837,57.1736,37.0998,-57.0942,-3.3966
2000-01-05,61.6465162226138,61.0691,77.8986,-34.7333,-0.5316
2000-01-06,60.5836452532584,58.2385,48.2533,-46.084,-3.6185
2000-01-07,60.3179275109196,57.5367,6.0466,-40.9836,0.1147
2000-01-10,62.7093871919693,61.8878,100.0,-11.4754,8.2569
2000-01-11,63.240822676647,62.7799,100.0,-12.7557,8.4777
2000-01-12,63.5065404189858,63.2328,100.0,-14.2857,9.3822
2000-01-13,62.8422460631387,61.2706,65.5511,-23.0769,10.514
2000-01-14,63.5703126771471,62.6092,68.2196,-22.109,9.5522
2000-01-18,61.5136573514444,56.7743,0.0,-45.2966,5.2273
2000-01-19,63.5065404189858,60.5266,58.0985,-22.828,9.4322
2000-01-20,63.240822676647,59.798,51.8217,-31.7154,8.0639
2000-01-21,64.5694113883412,62.1932,92.8698,-17.9261,12.5
2000-01-24,64.5694113883412,62.1932,100.0,-17.9261,11.8579
